"Releve","X_L93","Y_L93","Z_m","hauteur","sol_nu","SpRichness","group","Asttri","Elyath","Halpor","Junger","Junmar","Limvul","Phraus","Plamar","Pucmar","Salobs","Saleme","Sarper","Scimar","Spaang","Spaver","Trimar"
"L30",370363.2933,6416360.473,1.562222222,43,3,8,"C",4,0,5,0,3,0.4,0,0,5,0,7,0,2.2,0,0,1.4
"N43",370961.8562,6416255.669,1.500363636,65,3,11,"D",2,0,8,3,4,3,1,2,3,0.8,0,0,4,0,0,4
"J03",370665.847,6416707.665,2.003409091,65,4,5,"A",0,6.4,0,0,3,0.6,3,0,0,0,0,0,0,0,0,0
"B07",370469.3254,6417108.895,2.35375,200,2,9,"B",0,4,0,2,3,0,2,0,0,0,0,0,0,0,0,0
"Q09",369709.874,6415866.295,2.464210526,65,2,6,"A",0,8,0,0,5,0,3,0,0,0,0,0,0,0,3,0
"X13",370658.4845,6415808.578,1.493529412,35,2,7,"C",5,0,6,0,0,4,0,0,6,6,0,0,0,1,0,6
"T16",370409.5605,6415910.521,1.192222222,20,2,4,"F",4,0,0,0,0,0,0,0,0,8,2,0,0,3,0,0
"U21",371160.0137,6416054.236,1.275757576,40,4,6,"C",4,0,8,0,3,0,0,0,0,7,2,0,0,0,0,5
"W26",371308.2227,6415853.212,0.98490566,35,8,3,"F",0,0,0,0,0,0,0,0,0,3,7,0,0,4,0,0
"H42",370512.7295,6416309.297,1.565142857,40,4.6,12,"C",2,0,2.6,0,3.2,0.4,0,0,2.2,4.2,0,0,1,0.8,0,6.4
"I27",371510.4706,6416151.273,1.27826087,15,8.2,10,"C",1.8,0,1,0,0.2,0.6,0,0.6,0.6,1.6,0.8,0,0,0,0,2
"F07",370716.6134,6416807.155,2.361454545,45,3,4,"A",0,7,0,0,4,0,2.2,0,0,0,0,0,0,0,7,0
"X07",370858.6871,6415856.892,1.350535714,15,4,6,"E",5,0,0,0,0,0,0,0,0,7,0,5,0,4,0,2
"J02",370615.8985,6416708.074,2.017272727,70,4,3,"A",0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Q07",369760.2313,6415915.836,2.383953488,70,2,5,"A",0,6,0,0,8,0,3,0,0,0,0,0,0,0,4,0
"P05",370911.4988,6416206.128,1.453333333,70,4,10,"C",2,0,4,0,5,0,2,0,0,4,0,0,2,0,0,7
"M04",370412.4237,6416260.166,1.560638298,45,3,8,"E",3,0,5,0,6.6,0,0,0,0,6,5,0,4,2,0,2
"K28",371362.2616,6416352.296,1.77,25,3,6,"D",1,0,9,0,4,2,0,0,2,0,1,0,0,0,0,0
"H34",370513.5476,6416409.196,1.624571429,80,3.2,8,"D",0.4,0,6.4,0,6.4,1.6,0,0,1.2,0,0,0,3.2,0,0,2.8
"N23",370962.6743,6416355.567,1.702285714,60,1,12,"D",0,2,5,2,6,2,1,6,0,1,0,0,3,0,6,2
"I16",371511.6978,6416301.121,1.292978723,21,7.8,5,"D",0,0,4.8,0,2.2,1.2,0,0,0,0.8,0,0,0,0,0,0.8
"H06",370665.0289,6416607.767,1.628928571,80,4,7,"D",0.2,0,2.4,1.4,7,3.6,0,0,0.2,0,0,0,0,0,0,4.4
"O24",371311.4951,6416252.807,1.572,35,1,4,"D",0,0,9,0,4,4,0,0,0,0,0,4,0,0,0,0
"K21",371213.2344,6416453.422,1.724693878,45,3,7,"D",3,0,8,0,5,5,0,3,0,0,0,0,0,0,0,0.4
